,Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,Onsidekick,PuntResult,PlayType,Passer,Passer_ID,PassAttempt,PassOutcome,PassLength,AirYards,YardsAfterCatch,QBHit,PassLocation,InterceptionThrown,Interceptor,Rusher,Rusher_ID,RushAttempt,RunLocation,RunGap,Receiver,Receiver_ID,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,Timeout_Indicator,Timeout_Team,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,HomeTimeouts_Remaining_Post,AwayTimeouts_Remaining_Post,No_Score_Prob,Opp_Field_Goal_Prob,Opp_Safety_Prob,Opp_Touchdown_Prob,Field_Goal_Prob,Safety_Prob,Touchdown_Prob,ExPoint_Prob,TwoPoint_Prob,ExpPts,EPA,airEPA,yacEPA,Home_WP_pre,Away_WP_pre,Home_WP_post,Away_WP_post,Win_Prob,WPA,airWPA,yacWPA,Season
160154,2012-11-11,2012111111,19,3,1.0,05:15,6,1215.0,11.0,CHI,48.0,52.0,10,2,0.0,0.0,CHI,HOU,(5:15) M.Forte right tackle to 50 for 2 yards (T.Dobbins; E.Mitchell).,1,2,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,M.Forte,00-0026184,1,right,tackle,,None,0,,,,T.Dobbins,E.Mitchell,,,0,,,0,0,,0,,,,0,3.0,10.0,-7.0,7.0,CHI,HOU,0,None,3,3,3,3,3,0.008344598246805765,0.08853495091031001,0.0005972531249271385,0.13488455522534812,0.3111337944013545,0.003407571226977541,0.4530972768642769,0.0,0.0,2.900906218149736,-0.35349244972189275,,,0.33800144050109304,0.6619985594989071,0.3235619612574515,0.6764380387425486,0.33800144050109304,-0.014439479243641471,,,2012
194104,2013-10-13,2013101301,9,2,,00:22,1,1822.0,7.0,CIN,1.0,1.0,0,2,1.0,0.0,,,Timeout #2 by BUF at 00:22.,1,0,0,0,,,,0,0,,Timeout,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,,,,,BUF,CIN,1,BUF,2,2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,2013
70270,2010-11-21,2010112100,23,4,1.0,05:55,6,355.0,0.0,CAR,20.0,80.0,10,-1,0.0,0.0,CAR,BAL,(5:55) M.Goodson left end to CAR 19 for -1 yards (H.Ngata).,1,-1,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,M.Goodson,00-0027080,1,left,end,,None,0,,,,H.Ngata,,,,0,,,0,0,,0,,,,0,13.0,23.0,-10.0,10.0,CAR,BAL,0,None,3,3,2,3,2,0.33699658545281824,0.11366638566797728,0.00411063760923503,0.16831459805466933,0.148159580336491,0.002254785693832285,0.22649742718497695,0.0,0.0,0.5070476840868894,-0.6034285215476505,,,0.10843032905175487,0.8915696709482451,0.08944915558314494,0.9105508444168552,0.10843032905175487,-0.018981173468609933,,,2010
297054,2015-11-16,2015111600,14,3,1.0,05:31,6,1231.0,7.0,CIN,9.0,91.0,10,5,0.0,0.0,CIN,HOU,(5:31) J.Hill up the middle to CIN 14 for 5 yards (B.Cushing; Q.Demps).,1,5,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,J.Hill,00-0031301,1,middle,,,None,0,,,,B.Cushing,Q.Demps,,,0,,,0,0,,0,,,,0,6.0,3.0,3.0,3.0,CIN,HOU,0,None,3,3,2,3,2,0.017481974250468116,0.21050210240769368,0.014987130940437366,0.32274055243898425,0.17201641716711674,0.0032386236414870557,0.25903319915381284,0.0,0.0,-0.5849055433158312,0.0808784733321013,,,0.5574827661779923,0.4425172338220077,0.5599195601682911,0.4400804398317089,0.5574827661779923,0.002436793990298836,,,2015
267794,2014-12-22,2014122200,27,4,,02:41,3,161.0,9.0,CIN,35.0,35.0,0,61,0.0,0.0,DEN,CIN,"M.Nugent kicks 65 yards from CIN 35 to end zone, Touchback.",1,0,0,0,,,,0,0,,Kickoff,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,Touchback,,,,,,,0,,,0,0,,0,,,,0,27.0,36.0,-9.0,9.0,CIN,DEN,0,None,3,3,3,3,3,0.5260231881277532,0.0806914687438371,0.0029098733221384755,0.11861154810706985,0.10648538992638804,0.0015990665111037994,0.1636794652617094,0.0,0.0,0.39023557000806064,0.0,,,0.9339598441634418,0.06604015583655826,0.9347022262171608,0.06529777378283899,0.06604015583655826,-0.0007423820537192648,,,2014
71869,2010-11-21,2010112110,21,4,3.0,02:34,3,154.0,5.0,STL,45.0,55.0,5,5,0.0,0.0,STL,ATL,(2:34) (Shotgun) S.Bradford pass incomplete short right to L.Robinson.,1,0,0,0,,,,0,0,,Pass,S.Bradford,00-0027854,1,Incomplete Pass,Short,0,0,0,right,0,,,None,0,,,L.Robinson,00-0025462,0,,,,,,,,0,,,0,0,,0,,,,0,17.0,26.0,-9.0,9.0,STL,ATL,0,None,1,1,3,1,3,0.4249275228450039,0.07444497060380881,0.0009045508039121164,0.1096626473774754,0.17113553308142007,0.002322770028582854,0.21660200525979686,0.0,0.0,1.0414836310584257,-1.058735052966528,-1.0591469695249929,0.00041191655846506414,0.08213180211565127,0.9178681978843488,0.05637936579253471,0.9436206342074652,0.08213180211565127,-0.02575243632311657,-0.02454206606089674,-0.0012103702622198315,2010
71795,2010-11-21,2010112110,11,2,,00:00,0,1800.0,27.0,STL,16.0,16.0,0,10,0.0,0.0,,,END QUARTER 2,1,0,0,0,,,,0,0,,Quarter End,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,,,,,STL,ATL,0,None,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,2010
39582,2009-12-27,2009122707,1,1,2.0,12:04,13,3424.0,41.0,NO,42.0,42.0,10,24,0.0,0.0,TB,NO,(12:04) (Shotgun) J.Freeman pass incomplete short left to A.Bryant.,1,0,0,0,,,,0,0,,Pass,J.Freeman,00-0026993,1,Incomplete Pass,Short,0,0,0,left,0,,,None,0,,,A.Bryant,00-0021191,0,,,,,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,NO,TB,0,None,2,3,2,3,2,0.0013469422381115913,0.08135591634463574,0.000500177299198893,0.12754379558980986,0.3614965270044264,0.0036355430216678314,0.4241210985021496,0.0,0.0,2.9227336838106885,-0.8667867056123404,-0.8666330250724887,-0.00015368053985165275,0.4417515167271153,0.5582484832728846,0.4691758031759665,0.5308241968240335,0.5582484832728846,-0.027424286448851087,-0.027393338782874758,-3.0947665976333034e-05,2009
187903,2013-09-22,2013092211,18,4,3.0,04:27,5,267.0,31.0,SF,6.0,6.0,3,80,0.0,0.0,IND,SF,"(4:27) A.Luck scrambles left end for 6 yards, TOUCHDOWN.",1,6,1,1,,,,0,0,,Run,,None,0,,,0,0,0,,0,,A.Luck,00-0029668,1,left,end,,None,0,,,,,,,,0,,,0,0,,0,,,,0,13.0,7.0,6.0,6.0,SF,IND,0,None,3,1,3,1,3,0.09550371581271956,0.019814644566867472,2.9781483108491503e-05,0.030871802757302825,0.5108702071092758,0.0020932457607512754,0.3408166025099745,0.0,0.0,3.646907214451213,3.353092785548787,,,0.09723674406183014,0.90276325593817,0.04571279072569423,0.9542872092743058,0.90276325593817,0.051523953336135915,,,2013
40504,2009-12-27,2009122702,11,2,1.0,06:57,7,2217.0,37.0,OAK,12.0,88.0,10,12,0.0,0.0,OAK,CLE,(6:57) M.Bush left guard to OAK 13 for 1 yard (C.Williams).,1,1,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,M.Bush,00-0025487,1,left,guard,,None,0,,,,C.Williams,,,,0,,,0,0,,0,,,,0,6.0,10.0,-4.0,4.0,CLE,OAK,0,None,3,2,3,2,3,0.3126520360012645,0.13737562778048454,0.00806290042277757,0.20414045647243634,0.13226076508103465,0.0022585356416877484,0.20324967860031465,0.0,0.0,-0.0331887627653813,-0.4053502250712002,,,0.6213422713265528,0.3786577286734471,0.6348245003117936,0.3651754996882064,0.3786577286734471,-0.013482228985240707,,,2009
349780,2016-12-04,2016120401,3,1,1.0,03:30,4,2910.0,39.0,MIA,13.0,13.0,10,50,0.0,0.0,BAL,MIA,(3:30) (Shotgun) J.Flacco pass incomplete short right.,1,0,0,0,,,,0,0,,Pass,J.Flacco,00-0026158,1,Incomplete Pass,Short,8,0,0,right,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,7.0,0.0,7.0,7.0,BAL,MIA,0,None,3,3,3,3,3,0.003895353572404569,0.025369874734028842,1.6194928283496472e-05,0.03827829115212835,0.3855945303524151,0.002441605055983377,0.5444041502047563,0.0,0.0,4.628405800478954,-0.4172905575401007,1.1828502393065443,-1.6001407968466452,0.8395591968631146,0.16044080313688536,0.830997672365052,0.16900232763494805,0.8395591968631146,-0.008561524498062691,0.020753008348809887,-0.029314532846872576,2016
2631,2009-09-14,2009091401,9,2,1.0,01:06,2,1866.0,21.0,SD,24.0,24.0,10,40,0.0,0.0,OAK,SD,"(1:06) (No Huddle, Shotgun) J.Russell pass incomplete short left to J.Higgins (S.Cooper).",1,0,0,0,,,,0,0,,Pass,J.Russell,00-0025388,1,Incomplete Pass,Short,12,0,0,left,0,,,None,0,,,J.Higgins,00-0025486,0,,,,,,,,0,,,0,0,,0,,,,0,7.0,7.0,0.0,0.0,OAK,SD,0,None,1,1,3,1,3,0.3070111076351696,0.018982836079982347,4.4926464186767627e-05,0.013666200699179495,0.3559269991585209,0.0006769690173521786,0.3036909609456087,0.0,0.0,3.0422698960669505,-0.30393907571986034,0.4436188415883704,-0.7475579173082307,0.6053891511805504,0.3946108488194496,0.5952598970330787,0.4047401029669213,0.6053891511805504,-0.010129254147471678,0.015109783137754684,-0.02523903728522636,2009
356675,2016-12-19,2016121900,24,4,1.0,08:10,9,490.0,26.0,WAS,42.0,42.0,10,14,0.0,0.0,CAR,WAS,"(8:10) (Shotgun) F.Whittaker left end to WAS 41 for 1 yard (M.Spaight, T.Murphy).",1,1,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,F.Whittaker,00-0029731,1,left,end,,None,0,,,,M.Spaight,T.Murphy,,,0,,,0,0,,0,,,,0,23.0,12.0,11.0,11.0,WAS,CAR,0,None,2,3,2,3,2,0.10349217621187633,0.05688292215028917,0.00020750924435897976,0.08419164509095019,0.3042217081904233,0.002759354305680906,0.4482446848064212,0.0,0.0,3.2954913262513434,-0.45220753702023103,,,0.06314723312611603,0.9368527668738841,0.06296432962421594,0.937035670375784,0.9368527668738841,0.00018290350190008908,,,2016
102868,2011-10-10,2011101000,17,4,4.0,12:22,13,742.0,30.0,CHI,8.0,92.0,26,-20,0.0,0.0,CHI,DET,"(12:22) (Punt formation) PENALTY on CHI-C.Conte, False Start, 4 yards, enforced at CHI 8 - No Play.",1,0,0,0,,,,0,0,,No Play,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,1,CHI,False Start,C.Conte,4,10.0,21.0,-11.0,11.0,DET,CHI,0,None,3,3,3,3,3,0.0899613649168554,0.31631414101887706,0.012655454225746848,0.4286636759210909,0.03526065758332361,0.003382106428533925,0.11376259990557246,0.0,0.0,-3.066014678009715,-0.15734326962876555,,,0.9239473273295474,0.0760526726704526,0.9267750724629304,0.0732249275370697,0.0760526726704526,-0.0028277451333828946,,,2011
200466,2013-10-27,2013102707,8,2,4.0,09:14,10,2354.0,41.0,CIN,27.0,27.0,7,3,0.0,0.0,NYJ,CIN,"(9:14) N.Folk 45 yard field goal is GOOD, Center-T.Purdum, Holder-R.Quigley.",1,0,1,0,,,,0,0,,Field Goal,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,Good,45.0,0,,,0,0,,0,,,,0,0.0,14.0,-14.0,14.0,CIN,NYJ,0,None,3,3,3,3,3,0.03363221202718213,0.05492542036105946,0.0006880701281552497,0.08242692370961183,0.7917236804771782,0.00035683843423482215,0.03624685486257827,0.0,0.0,1.8864718350312804,1.1135281649687196,,,0.8607662533940345,0.13923374660596555,0.8409409764191346,0.15905902358086546,0.13923374660596555,0.019825276974899855,,,2013
285620,2015-10-18,2015101805,3,1,2.0,09:54,10,3294.0,16.0,DEN,34.0,66.0,8,13,0.0,1.0,DEN,CLE,(9:54) (Shotgun) P.Manning pass short right to E.Sanders to DEN 45 for 11 yards (D.Whitner).,1,11,0,0,,,,0,0,,Pass,P.Manning,00-0010346,1,Complete,Short,6,5,0,right,0,,,None,0,,,E.Sanders,00-0027685,1,,,,D.Whitner,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,CLE,DEN,0,None,3,3,3,3,3,0.004079976430062855,0.15113335105704045,0.0028412325368880123,0.2334008495281115,0.25478632707270943,0.003967743047437725,0.3497905203277501,0.0,0.0,1.1279396446655765,1.5162568553792015,0.4585977492803075,1.0576591060988942,0.4777012599347678,0.5222987400652322,0.4301613895014992,0.5698386104985008,0.5222987400652322,0.04753987043326857,0.013903307880856029,0.033636562552412534,2015
88272,2011-01-02,2011010205,1,1,1.0,14:55,15,3595.0,5.0,TEN,21.0,79.0,10,4,0.0,0.0,TEN,IND,"(14:55) (Run formation) K.Collins pass short right to C.Johnson to TEN 25 for 4 yards (J.Lacey, P.Angerer).",1,4,0,0,,,,0,0,,Pass,K.Collins,00-0003292,1,Complete,Short,0,4,0,right,0,,,None,0,,,C.Johnson,00-0026164,1,,,,J.Lacey,P.Angerer,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,IND,TEN,0,None,3,3,3,3,3,0.0015099759590847092,0.17628371370882534,0.006128939999671356,0.27562546447521163,0.2176316403961388,0.0036067913497125,0.31921347411135564,0.0,0.0,0.4241155502150309,-0.10300728869520537,-0.7784857026490126,0.6754784139538073,0.5111048119774247,0.4888951880225753,0.5121505508574673,0.4878494491425327,0.4888951880225753,-0.001045738880042557,-0.022267951297071983,0.021222212417029433,2010
320134,2016-09-18,2016091806,4,1,3.0,05:44,6,3044.0,37.0,CIN,26.0,74.0,7,3,0.0,0.0,CIN,PIT,(5:44) (Shotgun) A.Dalton pass incomplete short left to C.Uzomah.,1,0,0,0,,,,0,0,,Pass,A.Dalton,00-0027973,1,Incomplete Pass,Short,4,0,0,left,0,,,None,0,,,C.Uzomah,00-0032134,0,,,,,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,PIT,CIN,0,None,3,3,3,3,3,0.012773531129074487,0.21207367754996995,0.005900414165128322,0.3199365666615697,0.1765581479845303,0.004202199880294458,0.2685554626294328,0.0,0.0,-0.469610745490945,-1.5690944305319194,-0.9758365450276836,-0.5932578855042359,0.5192072274003355,0.4807927725996645,0.5668945157331475,0.4331054842668525,0.4807927725996645,-0.047687288332812,-0.02937417433083933,-0.018313114001972663,2016
169444,2012-12-09,2012120907,16,3,,15:00,15,1800.0,5.0,PHI,35.0,35.0,0,0,0.0,,TB,PHI,"A.Henery kicks 65 yards from PHI 35 to end zone, Touchback.",1,0,0,0,,,,0,0,,Kickoff,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,Touchback,,,,,,,0,,,0,0,,0,,,,0,0.0,10.0,-10.0,10.0,TB,PHI,0,None,3,3,3,3,3,0.0015063265025897466,0.1797487862643072,0.006639108378448643,0.28113770607073496,0.2137001434842492,0.0035923127788396844,0.3136756165208305,0.0,0.0,0.32352585361127617,0.0,,,0.1847381158017856,0.8152618841982144,0.1847381158017856,0.8152618841982144,0.1847381158017856,0.0,,,2012
126009,2011-12-12,2011121200,20,4,,04:39,5,279.0,4.0,SEA,2.0,2.0,0,76,0.0,0.0,STL,SEA,"Josh.Brown extra point is GOOD, Center-J.McQuaide, Holder-D.Jones.",1,0,1,0,Made,,,0,0,,Extra Point,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,12.0,22.0,-10.0,10.0,SEA,STL,0,None,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9907954004544308,0.0,0.9907954004544308,0.00920459954556907,,,0.8940223673935651,0.10597763260643484,0.9005406899941074,0.0994593100058926,0.10597763260643484,-0.006518322600542262,,,2011
56753,2010-10-10,2010101007,4,1,1.0,08:40,9,3220.0,41.0,ATL,40.0,60.0,10,11,0.0,0.0,ATL,CLE,(8:40) M.Ryan pass incomplete short left to M.Turner [E.Wright].,1,0,0,0,,,,0,0,,Pass,M.Ryan,00-0026143,1,Incomplete Pass,Short,0,0,1,left,0,,,None,0,,,M.Turner,00-0022821,0,,,,,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,CLE,ATL,0,None,3,3,3,3,3,0.004526222273587436,0.11181893549816728,0.0012267911897197708,0.17188744515077722,0.2876186448449681,0.003569519190491129,0.419352441852289,0.0,0.0,2.264339560952528,-0.6775098493357816,-0.6773386123318925,-0.000171237003889102,0.4408450410358753,0.5591549589641247,0.461514205274307,0.538485794725693,0.5591549589641247,-0.02066916423843168,-0.020640250922664197,-2.8913315767487013e-05,2010
311002,2015-12-21,2015122100,19,4,,01:55,2,115.0,3.0,DET,15.0,15.0,0,80,0.0,0.0,NO,DET,"K.Forbath extra point is GOOD, Center-J.Drescher, Holder-T.Morstead.",1,0,1,0,Made,,,0,0,,Extra Point,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,26.0,35.0,-9.0,9.0,NO,DET,0,None,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931114949971538,0.0,0.931114949971538,0.0688850500284619,,,0.06632848950969675,0.9336715104903032,0.052313157292747325,0.9476868427072528,0.06632848950969675,-0.014015332216949422,,,2015
